,Date,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
208,208,Behran.Oil,51775.0,51744.0,51257.0,51257.0,878
209,209,Behran.Oil,51257.0,50810.0,50500.0,50500.0,11163
210,210,Behran.Oil,50500.0,50497.0,49993.0,49993.0,11803
211,211,Behran.Oil,49993.0,49988.0,49483.0,49487.0,10341
212,212,Behran.Oil,49487.0,49400.0,48120.0,48949.0,18433
213,213,Behran.Oil,48949.0,48949.0,48200.0,48797.0,32605
214,214,Behran.Oil,48797.0,48790.0,47975.0,47975.0,1314
215,215,Behran.Oil,47975.0,47969.0,47000.0,47469.0,8037
216,216,Behran.Oil,47469.0,47000.0,46493.0,46493.0,1370
217,217,Behran.Oil,46493.0,46255.0,44169.0,46255.0,21593
218,218,Behran.Oil,46255.0,46197.0,46130.0,46130.0,3167
219,219,Behran.Oil,46130.0,46000.0,45650.0,45997.0,16111
220,220,Behran.Oil,45997.0,45986.0,45000.0,45935.0,8455
221,221,Behran.Oil,45935.0,45660.0,45000.0,45625.0,48999
222,222,Behran.Oil,45625.0,45625.0,45621.0,45621.0,19858
223,223,Behran.Oil,45621.0,45625.0,45625.0,45625.0,14339
224,224,Behran.Oil,45625.0,45629.0,45629.0,45629.0,7373
225,225,Behran.Oil,45629.0,46769.0,46769.0,46769.0,1000
226,226,Behran.Oil,46769.0,47938.0,47938.0,47938.0,13913
227,227,Behran.Oil,47938.0,49136.0,49136.0,49136.0,17558
228,228,Behran.Oil,49136.0,50364.0,50364.0,50364.0,3944
229,229,Behran.Oil,50364.0,51623.0,51000.0,51623.0,48192
230,230,Behran.Oil,51623.0,52913.0,51588.0,51623.0,17085
231,231,Behran.Oil,51623.0,55702.0,54010.0,55501.0,56140
232,232,Behran.Oil,55501.0,56056.0,55502.0,55710.0,26234
233,233,Behran.Oil,55710.0,55711.0,55690.0,55700.0,47456
234,234,Behran.Oil,55700.0,55699.0,55400.0,55400.0,58084
235,235,Behran.Oil,55400.0,55328.0,55200.0,55200.0,14775
236,236,Behran.Oil,55200.0,55101.0,54900.0,54900.0,29861
237,237,Behran.Oil,54900.0,54899.0,54400.0,54498.0,14227
238,238,Behran.Oil,54498.0,54479.0,53999.0,54200.0,26330
239,239,Behran.Oil,54200.0,54000.0,53500.0,53886.0,12370
240,240,Behran.Oil,53886.0,52882.0,52877.0,52878.0,23627
241,241,Behran.Oil,52878.0,52918.0,52870.0,52878.0,27208
242,242,Behran.Oil,52878.0,54199.0,52890.0,54199.0,25576
243,243,Behran.Oil,54199.0,55553.0,55553.0,55553.0,13041
244,244,Behran.Oil,55553.0,59006.0,57000.0,58500.0,23738
245,245,Behran.Oil,58500.0,58000.0,57276.0,57276.0,3712
246,246,Behran.Oil,57276.0,57260.0,56900.0,56900.0,3193
247,247,Behran.Oil,56900.0,56800.0,55478.0,55478.0,9518
248,248,Behran.Oil,55478.0,56500.0,54924.0,56500.0,19480
249,249,Behran.Oil,56500.0,56500.0,55900.0,56369.0,28855
250,250,Behran.Oil,56369.0,56510.0,56376.0,56376.0,19072
251,251,Behran.Oil,56376.0,57785.0,56370.0,57784.0,40188
252,252,Behran.Oil,57784.0,59100.0,57874.0,58028.0,448160
253,253,Behran.Oil,58028.0,58029.0,57600.0,57800.0,588733
254,254,Behran.Oil,57800.0,57600.0,56355.0,56355.0,4324
255,255,Behran.Oil,56355.0,57700.0,54947.0,57700.0,52950
256,256,Behran.Oil,57700.0,57750.0,57000.0,57400.0,13943
257,257,Behran.Oil,57400.0,57499.0,57010.0,57015.0,6342
258,258,Behran.Oil,57015.0,57020.0,56850.0,56850.0,3607
259,259,Behran.Oil,56850.0,56843.0,55727.0,55727.0,3608
260,260,Behran.Oil,55727.0,55719.0,54900.0,54900.0,7292
261,261,Behran.Oil,54900.0,55000.0,54779.0,55000.0,14325
262,262,Behran.Oil,55000.0,54998.0,54889.0,54900.0,41198
263,263,Behran.Oil,54900.0,55200.0,54898.0,55200.0,15848
