,Date,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
184,184,S*Isf..Oil.Ref.Co.,6746.0,6899.0,6726.0,6774.0,949348
185,185,S*Isf..Oil.Ref.Co.,6774.0,6850.0,6740.0,6775.0,1545026
186,186,S*Isf..Oil.Ref.Co.,6775.0,6900.0,6730.0,6788.0,11943921
187,187,S*Isf..Oil.Ref.Co.,6788.0,6805.0,6778.0,6789.0,560912
188,188,S*Isf..Oil.Ref.Co.,6789.0,6800.0,6700.0,6747.0,1404889
189,189,S*Isf..Oil.Ref.Co.,6747.0,6768.0,6680.0,6704.0,1849013
190,190,S*Isf..Oil.Ref.Co.,6704.0,6768.0,6503.0,6563.0,3217495
191,191,S*Isf..Oil.Ref.Co.,6563.0,6367.0,6367.0,6544.0,162958
192,192,S*Isf..Oil.Ref.Co.,6544.0,6348.0,6348.0,6538.0,50942
193,193,S*Isf..Oil.Ref.Co.,6538.0,6342.0,6342.0,6538.0,3574
194,194,S*Isf..Oil.Ref.Co.,6538.0,6342.0,6342.0,6538.0,154
195,195,S*Isf..Oil.Ref.Co.,6538.0,6310.0,6310.0,6536.0,12122
196,196,S*Isf..Oil.Ref.Co.,6536.0,6308.0,6308.0,6534.0,14559
197,197,S*Isf..Oil.Ref.Co.,6534.0,6306.0,6306.0,6533.0,7463
198,198,S*Isf..Oil.Ref.Co.,6533.0,6305.0,6305.0,6533.0,100
199,199,S*Isf..Oil.Ref.Co.,6533.0,6305.0,6305.0,6305.0,1677386
200,200,S*Isf..Oil.Ref.Co.,6305.0,6085.0,6085.0,6267.0,290702
201,201,S*Isf..Oil.Ref.Co.,6267.0,6048.0,6048.0,6259.0,60577
202,202,S*Isf..Oil.Ref.Co.,6259.0,6040.0,6040.0,6257.0,15338
203,203,S*Isf..Oil.Ref.Co.,6257.0,6039.0,6039.0,6164.0,710705
204,204,S*Isf..Oil.Ref.Co.,6164.0,5949.0,5949.0,6085.0,609981
205,205,S*Isf..Oil.Ref.Co.,6085.0,5873.0,5873.0,6006.0,619690
206,206,S*Isf..Oil.Ref.Co.,6006.0,5796.0,5796.0,5930.0,603290
207,207,S*Isf..Oil.Ref.Co.,5930.0,5930.0,5723.0,5747.0,5088670
208,208,S*Isf..Oil.Ref.Co.,5747.0,5948.0,5803.0,5939.0,1678909
209,209,S*Isf..Oil.Ref.Co.,5939.0,6146.0,5732.0,6065.0,2614971
210,210,S*Isf..Oil.Ref.Co.,6065.0,5853.0,5853.0,6042.0,179301
211,211,S*Isf..Oil.Ref.Co.,6042.0,5831.0,5831.0,6028.0,109024
212,212,S*Isf..Oil.Ref.Co.,6028.0,5818.0,5818.0,6028.0,1535
213,213,S*Isf..Oil.Ref.Co.,6028.0,5818.0,5818.0,6028.0,3368
214,214,S*Isf..Oil.Ref.Co.,6028.0,5818.0,5818.0,6027.0,10000
215,215,S*Isf..Oil.Ref.Co.,6027.0,5817.0,5817.0,6027.0,1339
216,216,S*Isf..Oil.Ref.Co.,6027.0,5817.0,5817.0,6027.0,1090
217,217,S*Isf..Oil.Ref.Co.,6027.0,5817.0,5817.0,6026.0,4420
218,218,S*Isf..Oil.Ref.Co.,6026.0,5816.0,5816.0,6025.0,9237
219,219,S*Isf..Oil.Ref.Co.,6025.0,5815.0,5815.0,5815.0,15
220,220,S*Isf..Oil.Ref.Co.,5815.0,5612.0,5612.0,5612.0,33100
221,221,S*Isf..Oil.Ref.Co.,5612.0,5416.0,5416.0,5416.0,251180
222,222,S*Isf..Oil.Ref.Co.,5416.0,5227.0,5227.0,5227.0,62282
223,223,S*Isf..Oil.Ref.Co.,5227.0,4847.0,4532.0,4625.0,9511598
224,224,S*Isf..Oil.Ref.Co.,4625.0,4770.0,4599.0,4689.0,2036989
225,225,S*Isf..Oil.Ref.Co.,4689.0,4743.0,4670.0,4703.0,3825248
226,226,S*Isf..Oil.Ref.Co.,4703.0,4867.0,4720.0,4836.0,2910894
227,227,S*Isf..Oil.Ref.Co.,4836.0,4990.0,4790.0,4848.0,693367
228,228,S*Isf..Oil.Ref.Co.,4848.0,4840.0,4711.0,4839.0,257149
229,229,S*Isf..Oil.Ref.Co.,4839.0,4840.0,4740.0,4824.0,367005
230,230,S*Isf..Oil.Ref.Co.,4824.0,4774.0,4660.0,4795.0,441927
231,231,S*Isf..Oil.Ref.Co.,4795.0,4700.0,4653.0,4738.0,901851
232,232,S*Isf..Oil.Ref.Co.,4738.0,4780.0,4631.0,4687.0,1204656
233,233,S*Isf..Oil.Ref.Co.,4687.0,4790.0,4710.0,4701.0,426081
234,234,S*Isf..Oil.Ref.Co.,4701.0,4779.0,4731.0,4712.0,405741
235,235,S*Isf..Oil.Ref.Co.,4712.0,4802.0,4770.0,4748.0,762956
236,236,S*Isf..Oil.Ref.Co.,4748.0,4914.0,4800.0,4834.0,1175124
237,237,S*Isf..Oil.Ref.Co.,4834.0,5003.0,4952.0,4902.0,680921
238,238,S*Isf..Oil.Ref.Co.,4902.0,5073.0,5073.0,4975.0,713483
239,239,S*Isf..Oil.Ref.Co.,4975.0,5149.0,5149.0,5055.0,767532
240,240,S*Isf..Oil.Ref.Co.,5055.0,5231.0,5118.0,5226.0,2953240
241,241,S*Isf..Oil.Ref.Co.,5226.0,5350.0,5175.0,5254.0,1583175
242,242,S*Isf..Oil.Ref.Co.,5254.0,5239.0,5151.0,5207.0,1053102
243,243,S*Isf..Oil.Ref.Co.,5207.0,5200.0,5025.0,5139.0,782840
244,244,S*Isf..Oil.Ref.Co.,5139.0,5260.0,5040.0,5138.0,528419
245,245,S*Isf..Oil.Ref.Co.,5138.0,5317.0,5071.0,5171.0,358867
246,246,S*Isf..Oil.Ref.Co.,5171.0,5351.0,5317.0,5274.0,959951
247,247,S*Isf..Oil.Ref.Co.,5274.0,5458.0,5450.0,5458.0,2338369
248,248,S*Isf..Oil.Ref.Co.,5458.0,5458.0,5400.0,5451.0,422102
249,249,S*Isf..Oil.Ref.Co.,5451.0,5641.0,5400.0,5574.0,1289276
250,250,S*Isf..Oil.Ref.Co.,5574.0,5769.0,5660.0,5762.0,2421374
251,251,S*Isf..Oil.Ref.Co.,5762.0,5900.0,5582.0,5723.0,1336603
252,252,S*Isf..Oil.Ref.Co.,5723.0,5700.0,5535.0,5688.0,512168
253,253,S*Isf..Oil.Ref.Co.,5688.0,5788.0,5604.0,5701.0,539277
254,254,S*Isf..Oil.Ref.Co.,5701.0,5775.0,5600.0,5682.0,1173334
255,255,S*Isf..Oil.Ref.Co.,5682.0,5668.0,5484.0,5499.0,1803265
256,256,S*Isf..Oil.Ref.Co.,5499.0,5599.0,5370.0,5472.0,634718
257,257,S*Isf..Oil.Ref.Co.,5472.0,5403.0,5281.0,5299.0,1552745
258,258,S*Isf..Oil.Ref.Co.,5299.0,5280.0,5114.0,5153.0,1497903
259,259,S*Isf..Oil.Ref.Co.,5153.0,5002.0,4973.0,5052.0,976845
260,260,S*Isf..Oil.Ref.Co.,5052.0,4878.0,4876.0,4900.0,1433559
261,261,S*Isf..Oil.Ref.Co.,4900.0,5071.0,4773.0,5029.0,1457377
262,262,S*Isf..Oil.Ref.Co.,5029.0,5197.0,5000.0,5076.0,1976947
263,263,S*Isf..Oil.Ref.Co.,5076.0,5100.0,4992.0,5038.0,1114522
264,264,S*Isf..Oil.Ref.Co.,5038.0,5070.0,4902.0,5021.0,540449
265,265,S*Isf..Oil.Ref.Co.,5021.0,5050.0,4970.0,5015.0,612954
266,266,S*Isf..Oil.Ref.Co.,5015.0,5020.0,4950.0,5003.0,705845
267,267,S*Isf..Oil.Ref.Co.,5003.0,5178.0,5003.0,5105.0,1011121
268,268,S*Isf..Oil.Ref.Co.,5105.0,5283.0,5283.0,5219.0,1061973
269,269,S*Isf..Oil.Ref.Co.,5219.0,5401.0,5401.0,5401.0,1779431
270,270,S*Isf..Oil.Ref.Co.,5401.0,5515.0,5312.0,5454.0,3210374
271,271,S*Isf..Oil.Ref.Co.,5454.0,5500.0,5300.0,5381.0,1521530
272,272,S*Isf..Oil.Ref.Co.,5381.0,5350.0,5221.0,5339.0,827073
